SampleID,BarcodeSequence,Owner,Disturbance,zone,Description,NPsiteID,Coord1,Coord2,pH,EC,Clay,Silt,Sand,Gravel,Sand_Fraction:>1<2 mm,Sand_Fraction:>.5<1 mm,Sand_Fraction:>.25<.5 mm,Sand_Fraction:>.1<.25 mm,Sand_Fraction:>.05<.1mm,MSM_No_Cover,MSM_Total_Cover,MSM_Thick_Cover,MSM_Patchy_Cover,MSM_Thick_Patchy_Cover,Disturbance...26,description_landform,landform1,landform3,landformid,newveg,landform2,Parent_Material_Nicole,Esite_DJ,Estate_DJ,GRASS,SHRUB,crust_cover
NP25.JOR.NPP,S83,Fred,Undisturbed,Playa,P-Coll Undisturbed,PCOLL,331855.4685,3600877.453,7.5,0.981,39.82,54.78,5.4,0.049959836,10.4723,17.7618,21.4579,25.154,25.15,44.44,55.56,4.63,50.93,0,0,"Ephemerally flooded, non-gypsiferous, clayey floors of depressions that are sporadically barren of vegetation than surrounding terrain (DP, P).",Basin Floor,Playas,5,Aster_Ameranthus,Playas,Rio Grande playa alluvium,Playa/Bottomland,altered grassland,1.1226875,0,0
NP26.JOR.NPP,S84,Fred,Disturbed,Playa,P-Coll Disturbed,PCOLL,331855.4685,3600877.453,7.49,0.749,42.11,50.69,7.2,0,5.4588,16.8409,20.4413,28.3391,28.92,44.44,55.56,3.7,51.85,0,1,"Ephemerally flooded, non-gypsiferous, clayey floors of depressions that are sporadically barren of vegetation than surrounding terrain (DP, P).",Basin Floor,Playas,5,Aster_Ameranthus,Playas,Rio Grande playa alluvium,Playa/Bottomland,altered grassland,1.1226875,0,0
NP24.JOR.NPP,S86,Fred,Disturbed,Playa,P-Smal Disturbed,PSMAL,325256.3542,3601849.727,7.15,1.67,39.53,58.47,2,0,16.804,21.7463,24.2175,23.0643,14.17,18.52,81.48,23.15,58.33,0,1,"Ephemerally flooded, non-gypsiferous, clayey floors of depressions that are sporadically barren of vegetation than surrounding terrain (DP, P).",Basin Floor,Playas,5,Aster_Ameranthus,Playas,Rio Grande playa alluvium,Playa/Bottomland,altered grassland,1.72363265306122,0,0
NP43.JOR.NPP,S85,Fred,Undisturbed,Playa,P-Smal Undisturbed,PSMAL,325256.3542,3601849.727,7.05,1.13,44.07,53.93,2,0,21.1144,21.8475,26.2463,19.7947,11,34.26,69.44,9.26,60.19,0,0,"Ephemerally flooded, non-gypsiferous, clayey floors of depressions that are sporadically barren of vegetation than surrounding terrain (DP, P).",Basin Floor,Playas,5,Aster_Ameranthus,Playas,Rio Grande playa alluvium,Playa/Bottomland,altered grassland,1.72363265306122,0,0
NP21.JOR.NPP,S82,Fred,Disturbed,Playa,P-Tobo Disturbed,PTOBO,333938.0277,3615867.78,7.35,1.03,18.35,37.95,43.7,0,2.3139,3.3219,14.4559,40.3666,39.54,0.93,99.07,1.85,96.3,0.93,1,"Relict clayey to loamy bottoms of intermittent lakes. Differentiated from playas by their less frequent flooding, greater vegetative cover, and gypsiferous lithology.",Basin Floor,Alluvial Flat,2,sporobolos,Lake plain playas,Gypsiferous Sediments,Bottomland,reference grassland,0.249857142857143,0,0.6122448979591837
NP37.JOR.NPP,S81,Fred,Undisturbed,Playa,P-Tobo Undisturbed,PTOBO,333938.0277,3615867.78,7.23,0.716,18.56,38.75,42.69,0,1.6992,3.3984,14.0299,40.2296,40.64,0,100,3.7,94.44,1.85,0,"Relict clayey to loamy bottoms of intermittent lakes. Differentiated from playas by their less frequent flooding, greater vegetative cover, and gypsiferous lithology.",Basin Floor,Alluvial Flat,2,sporobolos,Lake plain playas,Gypsiferous Sediments,Bottomland,reference grassland,0.249857142857143,0,0.6122448979591837
NP28.JOR.NPP,S70,Fred,Disturbed,Tarbush,T-East Disturbed,TEAST,336487.6377,3598889.806,7.06,0.662,13.39,22.41,64.2,0.128607835,1.945,9.9413,23.7419,38.268,26.1,2.78,97.22,6.48,89.81,0.93,1,Landform characterized by its slightly lower topographic position than the juxtaposed alluvial plain and by its alluvial sediments predominantly carried by sheet floods from neighboring piedmont slopes. These locally derived sediments overlie ancestral R,Basin Floor,Alluvial Flat,2,tarbush,Alluvial Flat,Igneous alluvium,Loamy,shrub_invaded,17.0581020408163,53.8591224489796,0.6122448979591837
NP41.JOR.NPP,S69,Fred,Undisturbed,Tarbush,T-East Undisturbed,TEAST,336487.6377,3598889.806,7.16,0.668,13.28,23.62,63.1,0.091568557,2.3059,9.4235,24.2275,38.8009,25.24,6.48,93.52,4.63,87.04,1.85,0,Landform characterized by its slightly lower topographic position than the juxtaposed alluvial plain and by its alluvial sediments predominantly carried by sheet floods from neighboring piedmont slopes. These locally derived sediments overlie ancestral R,Basin Floor,Alluvial Flat,2,tarbush,Alluvial Flat,Igneous alluvium,Loamy,shrub_invaded,17.0581020408163,53.8591224489796,0.6122448979591837
NP1.JOR.NPP,S73,Fred,Undisturbed,Tarbush,T-Taylor Undisturbed,TTAYL,339334.5659,3602680.07,7.14,0.598,14.58,34.62,50.8,1.641737726,3.4884,6.0046,18.5665,45.6157,26.32,0,100,7.41,91.67,0.93,0,"Landform comprising most of the piedmont slope. It descends from the alluvial fan remnants and mountain fronts to the basin floor. In the middle and lower portions, it consists of coalescent alluvial mantles. In the higher portion, it comprises the inte",Piedmont Slope,Alluvial Flat,2,tarbush,Alluvial Flat,Sedimentary alluvium,Loamy,shrub_invaded,2.23275510204082,18.2811836734694,16.93877551020408
NP32.JOR.NPP,S74,Fred,Disturbed,Tarbush,T-Taylor Disturbed,TTAYL,339334.5659,3602680.07,7.11,1.04,15.38,34.12,50.5,1.750915026,4.1441,5.9175,17.1925,41.6278,31.12,0,100.91,7.41,93.5,0,1,"Landform comprising most of the piedmont slope. It descends from the alluvial fan remnants and mountain fronts to the basin floor. In the middle and lower portions, it consists of coalescent alluvial mantles. In the higher portion, it comprises the inte",Piedmont Slope,Alluvial Flat,2,tarbush,Alluvial Flat,Sedimentary alluvium,Loamy,shrub_invaded,2.23275510204082,18.2811836734694,16.93877551020408
NP36.JOR.NPP,S72,Fred,Disturbed,Tarbush,T-West Disturbed,TWEST,336151.7221,3598550.277,6.89,0.962,15.47,38.13,46.4,0.296477409,2.9514,8.3085,16.8899,32.2917,39.56,0.93,99.07,3.7,95.37,0,1,Landform characterized by its slightly lower topographic position than the juxtaposed alluvial plain and by its alluvial sediments predominantly carried by sheet floods from neighboring piedmont slopes. These locally derived sediments overlie ancestral R,Basin Floor,Alluvial Flat,2,tarbush,Alluvial Flat,Igneous alluvium,Loamy,shrub_invaded,8.59816326530612,15.2150204081633,1.020408163265306
NP38.JOR.NPP,S71,Fred,Undisturbed,Tarbush,T-West Undisturbed,TWEST,336151.7221,3598550.277,7.15,0.696,15.49,40.51,44,0.010678741,2.0233,8.7907,17.4419,30.5581,41.19,1.85,98.15,4.63,90.74,2.78,0,Landform characterized by its slightly lower topographic position than the juxtaposed alluvial plain and by its alluvial sediments predominantly carried by sheet floods from neighboring piedmont slopes. These locally derived sediments overlie ancestral R,Basin Floor,Alluvial Flat,2,tarbush,Alluvial Flat,Igneous alluvium,Loamy,shrub_invaded,8.59816326530612,15.2150204081633,1.020408163265306
